CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL4281087,CC(C)(C)c1cc(Nc2c(N)oc3cnccc23)cc(C(C)(C)C)c1,6.0,6.301029995663981
CHEMBL4281155,Cc1ccc2sc(N)c(Nc3ccc(F)c(F)c3)c2c1,6.698970004336019,5.698970004336019
CHEMBL4281167,O=C1c2cccnc2C(=O)c2sc(-c3cscn3)nc21,7.657577319177793,6.492819022739759
CHEMBL4281184,Nc1oc2cnccc2c1Nc1ccc(F)c(OC(F)(F)F)c1,6.698970004336019,5.698970004336019
CHEMBL4281187,C#Cc1cccc(Nc2c(N)oc3cnccc23)c1,6.698970004336019,6.301029995663981
CHEMBL4281233,Cc1ccccc1Cn1cnc2c1C(=O)c1ccccc1C2=O,4.0,4.0
CHEMBL4281374,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)cc4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4281552,Nc1oc2cnccc2c1Nc1ccc(Cl)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4281561,Nc1oc2c(-c3cc(F)ccc3Cl)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4281581,O=C1c2ncccc2C(=O)c2sc(-c3ccncc3)nc21,6.682145510668531,6.164753460003689
CHEMBL4281808,Nc1oc2c(-c3cccc4ccccc34)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4281809,CCOC(=O)Nc1oc2c(-c3cccc(C#N)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,6.0,5.698970004336019
CHEMBL4281858,Nc1oc2c(N3CCOCC3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4281872,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
